,,,,,,,,,,,            Production            ,,,,,,,             Inventory             ,,,,,,,                                              Cards                                              ,,,,,,                        Tiles on Mars                        ,,,,,,   Terraforming    ,,,,,                                                           Other effects                                                           ,,,,,,,,
id,english name, # rows for this card,"Behavior
Type", Option, default sort,Exp'n,Trigger,Restrictions,"""N"" equals ↘", Details, Megacredit Prod., Steel Prod., Titanium Prod., Plant Prod., Energy Prod., Heat Prod., Production, Megacredits, Steel, Titanium, Plants, Energy, Heat, Inventory, Cards, Card details, Card resources," Resource
Type", Where, Cards, City tile ON MARS, Special tile, Greenery tile, Ocean tile,Tile restrictions, Tiles on Mars, Raise Temperature, Raise Oxygen, Raise Venus, Raise TR (directly), Total TR possible, City NOT on Mars, Colony, Trade Fleet, Delegate, Community,And also... , Other,Text form (not official), color
these totals and averages are essentially meaningless -->,,,,71,,,247,118,104,,151,27,31,68,28,66,,1845,134,79,128,25,51,,104,17,165,170,170,,19,15,8,31,,73,31,11,26,44,151,,,,,,,,,
B00,Beginner Corporation,1,0 Immediate,,0,0 Base,,,,,,,,,,,,42,,,,,,,10,instead of buying,,,,,,,,,,0,,,,,0,,,,,,,,Gain 42 M€. Take all 10 cards you received during setup into your hand for free.,#REF!
B01,CrediCor,3,0 Immediate,,1,0 Base,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 57 M€.,#REF!
B01,CrediCor,3,4 Effect/Trigger,,2,0 Base,play card,original cost >= 20,,←,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you play a card with an original cost of 20 M€ or more, gain 4 M€.",#REF!
B01,CrediCor,3,4 Effect/Trigger,,3,0 Base,standard project,cost >= 20,,←,,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"After you pay for a standard project costing 20 M€ or more, gain 4 M€.",#REF!
B02,Ecoline,2,0 Immediate,,4,0 Base,,,,,,,,2,,,,36,,,3,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 36 M€ and 3 plants. Increase your plant production 2 steps.,#REF!
B02,Ecoline,2,5 Effect/Discount,,5,0 Base,Convert Plants standard action,,,←,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,The Convert Plants standard action costs 1 plant less.,#REF!
B03,Helion,2,0 Immediate,,6,0 Base,,,,,,,,,,3,,42,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 42 M€ and increase your heat production 3 steps.,#REF!
B03,Helion,2,6 Effect/Resource,,7,0 Base,while active,,any number of M€ owed,←,,,,,,,,N,,,,,-N,,,,,,,,,,,,,,,,,,,,,,,,,,You may use heat as M€. You may not use M€ as heat.,#REF!
B04,Interplanetary Cinematics,2,0 Immediate,,8,0 Base,,,,,,,,,,,,30,20,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 30 M€ and  20 steel.,#REF!
B04,Interplanetary Cinematics,2,4 Effect/Trigger,,9,0 Base,play event card,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you play an event card, gain 2 M€.",#REF!
B05,Inventrix,3,0 Immediate,,10,0 Base,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 45 M€.,#REF!
B05,Inventrix,3,3 Action/First,,10,0 Base,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0,,,,,0,,,,,,,,"As your first action, draw 3 cards.",#REF!
B05,Inventrix,3,8 Effect/Ambient,,11,0 Base,play card,,,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,weaken global reqt 2 steps,,You may treat any global parameter requirement as if it is 2 steps lower or higher.,#REF!
B06,Mining Guild,2,0 Immediate,,12,0 Base,,,,,,1,,,,,,30,5,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 30 M€ and 5 steel. Increase your steel production 1 step.,#REF!
B06,Mining Guild,2,4 Effect/Trigger,,13,0 Base,tile,area with S/T bonus,,←,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you place a tile on an area with steel or titanium placement bonus, increase your steel production 1 step.",#REF!
B07,PhoboLog,2,0 Immediate,,14,0 Base,,,,,,,,,,,,23,,10,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 23 M€ and 10 titanium.,#REF!
B07,PhoboLog,2,6 Effect/Resource,,15,0 Base,payment that accepts titanium,,titanium spent,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Your titanium resources are worth 1 M€ extra.,#REF!
B08,Tharsis Republic,4,0 Immediate,,16,0 Base,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 40 M€.,#REF!
B08,Tharsis Republic,4,3 Action/First,,16,0 Base,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,0,,,,,,,,"As your first action, place a city tile.",#REF!
B08,Tharsis Republic,4,4 Effect/Trigger,,17,0 Base,city,,,←,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you place a city tile, gain 3 M€.",#REF!
B08,Tharsis Republic,4,4 Effect/Trigger,,18,0 Base,ANY city on Mars,,,←,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When ANY city tile is placed ON MARS, increase your M€ production 1 step.",#REF!
B09,ThorGate,3,0 Immediate,,19,0 Base,,,,,,,,,1,,,48,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 48 M€ and increase  your energy production 1 step.,#REF!
B09,ThorGate,3,5 Effect/Discount,,20,0 Base,power tag,,,←,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 3 M€ less per power tag it has.,#REF!
B09,ThorGate,3,5 Effect/Discount,,21,0 Base,SP11,,,←,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,The Power Plant standard project costs 3 M€ less.,#REF!
B10,United Nations Mars Initiative,2,0 Immediate,,22,0 Base,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 40 M€.,#REF!
B10,United Nations Mars Initiative,2,2 Action,,23,0 Base,,TR was raised this gen,,←,,,,,,,,-3,,,,,,,,,,,,,,,,,,0,,,,1,1,,,,,,,,Requires that your TR was raised this generation: spend 3 M€ to raise it 1 step more.,#REF!
B11,Saturn Systems,2,0 Immediate,,24,1 CorpEra,,,,,,,1,,,,,42,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 42 M€ and increase  your titanium production 1 step.,#REF!
B11,Saturn Systems,2,4 Effect/Trigger,,25,1 CorpEra,ANY Jovian tag,,,←,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When ANY Jovian tag is played, increase your M€ production 1 step.",#REF!
B12,Teractor,2,0 Immediate,,26,1 CorpEra,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 60 M€.,#REF!
B12,Teractor,2,5 Effect/Discount,,27,1 CorpEra,Earth tag,,,←,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 3 M€ less per Earth tag it has.,#REF!
V01,Aphrodite,2,0 Immediate,,28,4 VenusNext,,,,,,,,1,,,,47,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 47 M€ and increase your plant production 1 step.,#REF!
V01,Aphrodite,2,4 Effect/Trigger,,29,4 VenusNext,ANY Venus increase,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When Venus is raised 1 step, gain 2 M€.",#REF!
V02,Celestic,3,3 Action/First,,30,4 VenusNext,,,,,,,,,,,,,,,,,,,2,has floater icon,,,,,,,,,,0,,,,,0,,,,,,,,Draw 2 cards with floater icons.,#REF!
V02,Celestic,3,0 Immediate,,30,4 VenusNext,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 42 M€.,#REF!
V02,Celestic,3,2 Action,,31,4 VenusNext,,,,,,,,,,,,,,,,,,,,,1,floater,any,,,,,,,0,,,,,0,,,,,,,,Add a floater to ANY card.,#REF!
V03,Manutech,7,0 Immediate,,32,4 VenusNext,,,,,,1,,,,,,35,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 35 M€ and increase  your steel production 1 step.,#REF!
V03,Manutech,7,4 Effect/Trigger,,33,4 VenusNext,megacredit production,,,←,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you increase your M€ production 1 step, gain 1 M€.",#REF!
V03,Manutech,7,4 Effect/Trigger,,34,4 VenusNext,steel production,,,←,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you increase your steel production 1 step, gain 1 steel.",#REF!
V03,Manutech,7,4 Effect/Trigger,,35,4 VenusNext,titanium production,,,←,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you increase your titanium production 1 step, gain 1 titanium.",#REF!
V03,Manutech,7,4 Effect/Trigger,,36,4 VenusNext,plant production,,,←,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you increase your plant production 1 step, gain 1 plant.",#REF!
V03,Manutech,7,4 Effect/Trigger,,37,4 VenusNext,energy production,,,←,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you increase your energy production 1 step, gain 1 energy.",#REF!
V03,Manutech,7,4 Effect/Trigger,,38,4 VenusNext,heat production,,,←,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you increase your heat production 1 step, gain 1 heat.",#REF!
V04,Morning Star Inc.,3,3 Action/First,,39,4 VenusNext,,,,,,,,,,,,,,,,,,,3,has Venus tag,,,,,,,,,,0,,,,,0,,,,,,,,"As your first action, draw 3 Venus cards.",#REF!
V04,Morning Star Inc.,3,0 Immediate,,39,4 VenusNext,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 50 M€.,#REF!
V04,Morning Star Inc.,3,8 Effect/Ambient,,40,4 VenusNext,play card,,,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,weaken Venus reqt 2 steps,,You may treat a Venus terraforming requirement as if it is 2 steps lower or higher.,#REF!
V05,Viron,2,0 Immediate,,41,4 VenusNext,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 48 M€.,#REF!
V05,Viron,2,2 Action,,42,4 VenusNext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,reuse a card action,,Use a blue card action that has already been used this generation.,#REF!
PC1,Cheung Shing Mars,2,0 Immediate,,43,5 Prelude,,,,,3,,,,,,,44,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 44 M€. Increase your M€ production 3 steps.,#REF!
PC1,Cheung Shing Mars,2,5 Effect/Discount,,44,5 Prelude,building tag,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 2 M€ less per building tag it has.,#REF!
PC2,Point Luna,2,0 Immediate,,45,5 Prelude,,,,,,,1,,,,,38,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 38 M€. Increase your titanium production 1 step.,#REF!
PC2,Point Luna,2,4 Effect/Trigger,,46,5 Prelude,Earth tag,,,←,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,0,,,,,,,,"When you play a Earth tag, draw a card.",#REF!
PC3,Robinson Industries,7,0 Immediate,,47,5 Prelude,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 47 M€.,#REF!
PC3,Robinson Industries,7,2 Action,A,48,5 Prelude,,no prod lower than M€,,←,1,,,,,,,-4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Requires that M€ is your lowest production: Spend 4 M€ to increase your M€ production 1 step.,#REF!
PC3,Robinson Industries,7,2 Action,B,49,5 Prelude,,no prod lower than S,,←,,1,,,,,,-4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Requires that steel is your lowest production: Spend 4 M€ to increase your steel production 1 step.,#REF!
PC3,Robinson Industries,7,2 Action,C,50,5 Prelude,,no prod lower than T,,←,,,1,,,,,-4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Requires that titanium is your lowest production: Spend 4 M€ to increase your titanium production 1 step.,#REF!
PC3,Robinson Industries,7,2 Action,D,51,5 Prelude,,no prod lower than P,,←,,,,1,,,,-4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Requires that plants are your lowest production: Spend 4 M€ to increase your plant production 1 step.,#REF!
PC3,Robinson Industries,7,2 Action,E,52,5 Prelude,,no prod lower than E,,←,,,,,1,,,-4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Requires that energy is your lowest production: Spend 4 M€ to increase your energy production 1 step.,#REF!
